# tracer: nop
#
# entries-in-buffer/entries-written: 2022/2022   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-15643   [000] .Ns. 227544.012682: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d53be9 snd_una=0xa3d53bc5 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1688 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [001] ..s. 227552.438356: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecb90c7 snd_una=0xdecb0907 snd_cwnd=24 ssthresh=2147483647 snd_wnd=64128 srtt=440313 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227552.469295: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecba767 snd_una=0xdecb1457 snd_cwnd=26 ssthresh=2147483647 snd_wnd=64128 srtt=443351 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227552.524230: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecbbe07 snd_una=0xdecb1fa7 snd_cwnd=28 ssthresh=2147483647 snd_wnd=64128 srtt=448329 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227552.569144: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecbd4a7 snd_una=0xdecb2af7 snd_cwnd=30 ssthresh=2147483647 snd_wnd=64128 srtt=458091 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] .Ns. 227552.614771: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecbeb47 snd_una=0xdecb3647 snd_cwnd=32 ssthresh=2147483647 snd_wnd=64128 srtt=470735 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227552.647512: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=13 snd_nxt=0xdecc01e7 snd_una=0xdecb4197 snd_cwnd=34 ssthresh=2147483647 snd_wnd=64128 srtt=486043 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227552.694229: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc0d37 snd_una=0xdecb473f snd_cwnd=35 ssthresh=2147483647 snd_wnd=64128 srtt=501971 rcv_wnd=65024 sock_cookie=74
     ksoftirqd/1-18      [001] ..s. 227552.740490: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc23d7 snd_una=0xdecb528f snd_cwnd=37 ssthresh=2147483647 snd_wnd=64128 srtt=521747 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227552.797828: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc3a77 snd_una=0xdecb5ddf snd_cwnd=39 ssthresh=2147483647 snd_wnd=64128 srtt=543378 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.042807: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc45c7 snd_una=0xdecb6387 snd_cwnd=40 ssthresh=2147483647 snd_wnd=64128 srtt=567937 rcv_wnd=65024 sock_cookie=74
