# tracer: nop
#
# entries-in-buffer/entries-written: 4728/4728   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [000] ..s. 235020.081138: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe405f7b snd_una=0xfe400aa3 snd_cwnd=15 ssthresh=2147483647 snd_wnd=64128 srtt=751410 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.093232: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe406acb snd_una=0xfe40104b snd_cwnd=16 ssthresh=2147483647 snd_wnd=64128 srtt=757939 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.105008: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe40761b snd_una=0xfe4015f3 snd_cwnd=17 ssthresh=2147483647 snd_wnd=64128 srtt=765162 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.117216: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe40816b snd_una=0xfe401b9b snd_cwnd=18 ssthresh=2147483647 snd_wnd=64128 srtt=772956 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.129464: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe408cbb snd_una=0xfe402143 snd_cwnd=19 ssthresh=2147483647 snd_wnd=64128 srtt=781300 rcv_wnd=65024 sock_cookie=7c
     quic_server-16478   [000] ..s. 235020.887292: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe40980b snd_una=0xfe4026eb snd_cwnd=20 ssthresh=2147483647 snd_wnd=64128 srtt=790133 rcv_wnd=65024 sock_cookie=7c
     quic_server-16478   [000] ..s. 235020.898244: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe40a35b snd_una=0xfe402c93 snd_cwnd=21 ssthresh=2147483647 snd_wnd=64128 srtt=799575 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.934909: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe40aeab snd_una=0xfe40323b snd_cwnd=22 ssthresh=2147483647 snd_wnd=64128 srtt=809206 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.969546: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe40c54b snd_una=0xfe403d8b snd_cwnd=24 ssthresh=2147483647 snd_wnd=64128 srtt=820850 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235021.004567: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe40dbeb snd_una=0xfe4048db snd_cwnd=26 ssthresh=2147483647 snd_wnd=64128 srtt=833813 rcv_wnd=65024 sock_cookie=7c
