# tracer: nop
#
# entries-in-buffer/entries-written: 1993/1993   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-15643   [000] .... 229186.902148: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d5ad21 snd_una=0xa3d5acfd snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1668 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [001] ..s. 229193.881012: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4abedef snd_una=0xb4ab881f snd_cwnd=18 ssthresh=2147483647 snd_wnd=64128 srtt=143510 rcv_wnd=65024 sock_cookie=76
     quic_server-16018   [001] ..s. 229193.906179: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4abf93f snd_una=0xb4ab8dc7 snd_cwnd=19 ssthresh=2147483647 snd_wnd=64128 srtt=156534 rcv_wnd=65024 sock_cookie=76
     quic_server-16018   [001] ..s. 229193.929161: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac048f snd_una=0xb4ab936f snd_cwnd=20 ssthresh=2147483647 snd_wnd=64128 srtt=171076 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229193.954198: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac0fdf snd_una=0xb4ab9917 snd_cwnd=21 ssthresh=2147483647 snd_wnd=64128 srtt=174423 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229193.979970: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac1b2f snd_una=0xb4ab9ebf snd_cwnd=22 ssthresh=2147483647 snd_wnd=64128 srtt=180481 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] .Ns. 229194.028848: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac267f snd_una=0xb4aba467 snd_cwnd=23 ssthresh=2147483647 snd_wnd=64128 srtt=188605 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.077153: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac3d1f snd_una=0xb4abafb7 snd_cwnd=25 ssthresh=2147483647 snd_wnd=64128 srtt=201823 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.126037: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac486f snd_una=0xb4abbb07 snd_cwnd=25 ssthresh=25 snd_wnd=64128 srtt=219200 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.174113: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac53bf snd_una=0xb4abc657 snd_cwnd=25 ssthresh=25 snd_wnd=64128 srtt=236972 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.223318: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac5f0f snd_una=0xb4abd1a7 snd_cwnd=25 ssthresh=25 snd_wnd=64128 srtt=256005 rcv_wnd=65024 sock_cookie=76
