# tracer: nop
#
# entries-in-buffer/entries-written: 12461/40776   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [000] ..s. 218358.009792: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=36 snd_nxt=0x81da4091 snd_una=0x81da4091 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1662 rcv_wnd=62780 sock_cookie=6a
            sshd-14994   [000] .... 218358.012770: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81da40b5 snd_una=0x81da4091 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1662 rcv_wnd=62780 sock_cookie=6a
          <idle>-0       [000] ..s. 218358.786457: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=36 snd_nxt=0x81da40b5 snd_una=0x81da40b5 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1563 rcv_wnd=62780 sock_cookie=6a
            sshd-14994   [000] .N.. 218358.791967: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81da40d9 snd_una=0x81da40b5 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1563 rcv_wnd=62780 sock_cookie=6a
          <idle>-0       [000] ..s. 218359.332342: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=36 snd_nxt=0x81da40d9 snd_una=0x81da40d9 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1749 rcv_wnd=62780 sock_cookie=6a
            sshd-14994   [000] .... 218359.335926: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81da40fd snd_una=0x81da40d9 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1749 rcv_wnd=62780 sock_cookie=6a
          <idle>-0       [000] ..s. 218550.480432: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385def2 snd_una=0xf385def2 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1437 rcv_wnd=62780 sock_cookie=6d
            sshd-14793   [000] .... 218550.483637: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385df16 snd_una=0xf385def2 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1437 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218550.720514: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=36 snd_nxt=0x81da40fd snd_una=0x81da40fd snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1743 rcv_wnd=62780 sock_cookie=6a
          <idle>-0       [000] ..s. 218550.725833: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81da4121 snd_una=0x81da40fd snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1743 rcv_wnd=62780 sock_cookie=6a
          <idle>-0       [000] ..s. 218550.949062: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385df16 snd_una=0xf385df16 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1360 rcv_wnd=62780 sock_cookie=6d
            sshd-14793   [000] ..s. 218550.952718: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385df3a snd_una=0xf385df16 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1360 rcv_wnd=62780 sock_cookie=6d
