# tracer: nop
#
# entries-in-buffer/entries-written: 1787/1787   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [000] ..s. 223845.956574: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d3190d snd_una=0xa3d318e9 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1449 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [001] ..s. 223864.969989: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d814953 snd_una=0x7d811bb0 snd_cwnd=10 ssthresh=2147483647 snd_wnd=64256 srtt=406018 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223864.970435: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=24 snd_nxt=0x7d8154a3 snd_una=0x7d811bf7 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=405792 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223864.970938: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=27 snd_nxt=0x7d8154a3 snd_una=0x7d811bf7 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=405792 rcv_wnd=65024 sock_cookie=73
     ksoftirqd/1-18      [001] ..s. 223864.972855: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d8154a3 snd_una=0x7d811bf7 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=405792 rcv_wnd=65024 sock_cookie=73
     ksoftirqd/1-18      [001] ..s. 223864.973295: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=13 snd_nxt=0x7d815ff3 snd_una=0x7d811c13 snd_cwnd=12 ssthresh=2147483647 snd_wnd=64256 srtt=405583 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223864.974929: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=9 snd_nxt=0x7d815ff3 snd_una=0x7d811c13 snd_cwnd=12 ssthresh=2147483647 snd_wnd=64256 srtt=405583 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223864.986308: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d815ff3 snd_una=0x7d811c13 snd_cwnd=12 ssthresh=2147483647 snd_wnd=64256 srtt=405583 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223864.998137: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d816b43 snd_una=0x7d8121bb snd_cwnd=13 ssthresh=2147483647 snd_wnd=64128 srtt=406771 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.010270: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d817693 snd_una=0x7d812763 snd_cwnd=14 ssthresh=2147483647 snd_wnd=64128 srtt=409290 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.022404: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d8181e3 snd_una=0x7d812d0b snd_cwnd=15 ssthresh=2147483647 snd_wnd=64128 srtt=412849 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.034515: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d818d33 snd_una=0x7d8132b3 snd_cwnd=16 ssthresh=2147483647 snd_wnd=64128 srtt=417480 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.046757: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d819883 snd_una=0x7d81385b snd_cwnd=17 ssthresh=2147483647 snd_wnd=64128 srtt=423046 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.058780: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d81a3d3 snd_una=0x7d813e03 snd_cwnd=18 ssthresh=2147483647 snd_wnd=64128 srtt=429447 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.070867: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d81af23 snd_una=0x7d8143ab snd_cwnd=19 ssthresh=2147483647 snd_wnd=64128 srtt=436550 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.385032: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d81ba73 snd_una=0x7d814953 snd_cwnd=20 ssthresh=2147483647 snd_wnd=64128 srtt=444276 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.396656: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d81c5c3 snd_una=0x7d814efb snd_cwnd=21 ssthresh=2147483647 snd_wnd=64128 srtt=440621 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.422152: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d81d113 snd_una=0x7d8154a3 snd_cwnd=22 ssthresh=2147483647 snd_wnd=64128 srtt=438875 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.446316: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d81e7b3 snd_una=0x7d815ff3 snd_cwnd=24 ssthresh=2147483647 snd_wnd=64128 srtt=440177 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.470339: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d81fe53 snd_una=0x7d816b43 snd_cwnd=26 ssthresh=2147483647 snd_wnd=64128 srtt=442655 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.496472: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d8214f3 snd_una=0x7d817693 snd_cwnd=28 ssthresh=2147483647 snd_wnd=64128 srtt=446348 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.519564: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d822b93 snd_una=0x7d8181e3 snd_cwnd=30 ssthresh=2147483647 snd_wnd=64128 srtt=451329 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.543560: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d824233 snd_una=0x7d818d33 snd_cwnd=32 ssthresh=2147483647 snd_wnd=64128 srtt=457056 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.556240: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=13 snd_nxt=0x7d8258d3 snd_una=0x7d819883 snd_cwnd=34 ssthresh=2147483647 snd_wnd=64128 srtt=463554 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.579750: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d826423 snd_una=0x7d819e2b snd_cwnd=35 ssthresh=2147483647 snd_wnd=64128 srtt=469294 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.604077: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d827ac3 snd_una=0x7d81a97b snd_cwnd=37 ssthresh=2147483647 snd_wnd=64128 srtt=477256 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.798205: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d829163 snd_una=0x7d81b4cb snd_cwnd=39 ssthresh=2147483647 snd_wnd=64128 srtt=485760 rcv_wnd=65024 sock_cookie=73
          <idle>-0       [001] ..s. 223865.812314: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:44426 mark=0x0 data_len=0 snd_nxt=0x7d829cb3 snd_una=0x7d81ba73 snd_cwnd=40 ssthresh=2147483647 snd_wnd=64128 srtt=515957 rcv_wnd=65024 sock_cookie=73
