# tracer: nop
#
# entries-in-buffer/entries-written: 1798/1798   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
         apache2-7207    [001] .N.. 160003.166194: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf84d12d9 snd_una=0xf84c9669 snd_cwnd=23 ssthresh=2147483647 snd_wnd=61440 srtt=6393 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [001] .... 160003.166220: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf84d12d9 snd_una=0xf84ca1b9 snd_cwnd=25 ssthresh=2147483647 snd_wnd=63488 srtt=5934 rcv_wnd=65024 sock_cookie=68
     ksoftirqd/0-9       [000] ..s. 160003.166878: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf84d12d9 snd_una=0xf84cbe01 snd_cwnd=30 ssthresh=2147483647 snd_wnd=58624 srtt=5535 rcv_wnd=65024 sock_cookie=68
     ksoftirqd/0-9       [000] ..s. 160003.167802: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=13 snd_nxt=0xf84d9a99 snd_una=0xf84cda49 snd_cwnd=35 ssthresh=2147483647 snd_wnd=53632 srtt=5269 rcv_wnd=65024 sock_cookie=68
     ksoftirqd/0-9       [000] ..s. 160003.168921: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf84d9a99 snd_una=0xf84cda49 snd_cwnd=35 ssthresh=2147483647 snd_wnd=64128 srtt=5269 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [000] ..s. 160003.171292: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf84e0069 snd_una=0xf84d1881 snd_cwnd=46 ssthresh=2147483647 snd_wnd=64128 srtt=5104 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [000] ..s. 160003.171730: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf84e5352 snd_una=0xf84d6209 snd_cwnd=59 ssthresh=2147483647 snd_wnd=101760 srtt=5017 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [000] .... 160003.173813: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf84ee662 snd_una=0xf84d9a99 snd_cwnd=69 ssthresh=2147483647 snd_wnd=130816 srtt=4995 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [000] .... 160003.173976: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf84f53b5 snd_una=0xf84e0069 snd_cwnd=87 ssthresh=2147483647 snd_wnd=182912 srtt=4981 rcv_wnd=65024 sock_cookie=68
     ksoftirqd/0-9       [000] ..s. 160003.175779: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf84f53b5 snd_una=0xf84e1301 snd_cwnd=91 ssthresh=2147483647 snd_wnd=192384 srtt=4693 rcv_wnd=65024 sock_cookie=68
